name,first_funding_at,last_funding_at,relationships,funding_rounds,funding_total_usd,milestones,avg_participants,is_top500,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,company_age_days,days_to_first_funding,funding_duration_days,avg_funding_per_round,funding_efficiency,milestone_efficiency,log_funding_total,funding_intensity,relationship_density,is_successful
Airship Ventures,2008-05-09,2009-03-01,3,2,10500000,1,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,6703,494,296,5250000.0,3500000.0,0.054490526629867225,16.166885910365842,0.10898105325973445,0.16347157988960168,0
Lockdown Networks,2005-02-25,2006-03-02,6,2,8600000,1,1.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,8894,1516,370,4300000.0,1433333.3333333333,0.04106701146840567,15.967272877502799,0.08213402293681134,0.246402068810434,1
eMinor,2006-08-01,2008-10-07,9,2,5000000,0,2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6795,0,798,2500000.0,555555.5555555555,0.0,15.424948670398354,0.10750551876379691,0.4837748344370861,0
Karma,2011-01-01,2011-11-14,3,2,2304999,2,5.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5242,0,317,1152499.5,768333.0,0.1393552079359023,14.650591234412886,0.1393552079359023,0.20903281190385348,1
Zipano,2009-07-01,2009-07-01,2,1,25000,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5821,30,0,25000.0,12500.0,0.0,10.12667110305036,0.06274695069575674,0.12549390139151348,0
Entertainment Media Works,2007-02-26,2007-02-26,1,1,4000000,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7617,970,0,4000000.0,4000000.0,0.04795194958645136,15.201805169084134,0.04795194958645136,0.04795194958645136,0
Elastra,2007-08-15,2008-08-05,8,2,14600000,3,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6703,226,356,7300000.0,1825000.0,0.16347157988960168,16.496532155171714,0.10898105325973445,0.4359242130389378,0
RPO,2006-01-24,2010-09-13,0,3,44000000,0,4.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,7433,388,1693,14666666.666666666,0.0,0.0,17.599700214609808,0.1474169245257635,0.0,0
Fotomoto,2008-12-01,2011-05-26,10,3,1822922,3,2.3333,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,6064,61,906,607640.6666666666,182292.2,0.1806975593667546,14.41595181469963,0.1806975593667546,0.602325197889182,1
Peer39,2006-03-01,2012-01-24,18,7,29915001,5,2.75,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,7009,0,2155,4273571.571428572,1661944.5,0.26055785418747324,17.213870651662358,0.36478099586246254,0.9380082750749037,1
Vitrue,2006-05-01,2011-02-17,26,4,33000000,5,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,6948,0,1753,8250000.0,1269230.7692307692,0.26284542314335063,17.312018149733785,0.2102763385146805,1.3667962003454233,1
Trendslide,2011-08-01,2012-03-01,9,2,125000,2,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5030,0,213,62500.0,13888.888888888889,0.1452286282306163,11.736077016252437,0.1452286282306163,0.6535288270377734,1
PublicEarth,2008-02-08,2010-05-21,7,2,4000000,2,1.0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6338,38,833,2000000.0,571428.5714285715,0.1152571789207952,15.201805169084134,0.1152571789207952,0.4034001262227832,0
Azaleos,2007-11-06,2007-11-06,10,1,10000000,3,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7668,1274,0,10000000.0,1000000.0,0.14289906103286384,16.118095750958314,0.04763302034428795,0.4763302034428795,1
Efficient Frontier,2006-08-31,2006-08-31,25,1,6000000,4,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8529,1703,0,6000000.0,240000.0,0.17129792472740063,15.607270193858982,0.04282448118185016,1.0706120295462538,1
NetDevices,2005-08-16,2005-08-16,4,1,25000000,0,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8164,958,0,25000000.0,6250000.0,0.0,17.034386422832473,0.0447390984811367,0.1789563939245468,1
Go Try It On,2010-11-04,2012-11-13,2,3,3750000,3,2.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5638,338,740,1250000.0,1875000.0,0.19435083362894645,15.137266664613225,0.19435083362894645,0.12956722241929763,1
Performable,2010-01-15,2010-01-15,9,1,3000000,2,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5683,90,0,3000000.0,333333.3333333333,0.12854126341720923,14.914123179965662,0.06427063170860461,0.5784356853774415,1
Appstores.com,2010-08-01,2011-08-01,6,2,1155000,2,9.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5464,69,365,577500.0,192500.0,0.13369326500732065,13.959611767738522,0.13369326500732065,0.40107979502196195,1
Fortify Software,2005-12-15,2005-12-15,11,1,10000000,2,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8256,1171,0,10000000.0,909090.9090909091,0.08848110465116278,16.118095750958314,0.04424055232558139,0.48664607558139533,1
iCurrent,2008-08-01,2008-08-01,5,1,3000000,1,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7068,943,0,3000000.0,600000.0,0.05167657045840407,14.914123179965662,0.05167657045840407,0.25838285229202035,1
AisleBuyer,2010-11-23,2011-06-13,4,2,11500000,3,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5972,691,202,5750000.0,2875000.0,0.18348124581379774,16.257857680289998,0.12232083054253182,0.24464166108506363,1
Indeed,2005-08-01,2005-08-01,12,1,5000000,5,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7494,273,0,5000000.0,416666.6666666667,0.2436949559647718,15.424948670398354,0.04873899119295436,0.5848678943154524,1
Colubris Networks,2005-03-08,2006-10-23,9,2,29000000,1,5.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,9260,1893,594,14500000.0,3222222.222222222,0.03944384449244061,17.182806422433504,0.07888768898488122,0.35499460043196546,1
Mashery,2007-01-01,2012-07-23,37,6,34700000,4,5.0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,6948,245,2030,5783333.333333333,937837.8378378379,0.2102763385146805,17.36225027373553,0.31541450777202074,1.9450561312607946,1
Transparency Software,2005-03-09,2007-07-01,0,2,12050000,0,2.0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7799,433,844,6025000.0,0.0,0.0,16.304575300888487,0.09366585459674318,0.0,0
Viewdle,2008-03-01,2010-10-05,13,3,12000000,2,2.0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,7068,790,948,4000000.0,923076.9230769231,0.10335314091680814,16.300417291085605,0.1550297113752122,0.671795415959253,1
Enclarity,2009-03-10,2009-03-10,18,1,5500000,1,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7402,1498,0,5500000.0,305555.55555555556,0.049344771683328834,15.520258832020865,0.049344771683328834,0.8882058902999189,1
Virsto Software,2009-06-26,2011-08-25,10,3,24000000,4,3.3333,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6522,726,790,8000000.0,2400000.0,0.22401103955841767,16.993564429978885,0.16800827966881324,0.5600275988960441,1
Handmark,2005-09-12,2006-09-07,6,2,10000000,2,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,9078,1899,360,5000000.0,1666666.6666666667,0.08046926635822868,16.118095750958314,0.08046926635822868,0.24140779907468604,1
Viacor,2002-09-12,2010-11-10,10,3,19009671,1,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9291,1016,2981,6336557.0,1900967.1,0.03931223764933807,16.760458460238958,0.11793671294801421,0.3931223764933807,0
Carbonetworks,2008-07-01,2008-07-01,6,1,5000000,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7433,1277,0,5000000.0,833333.3333333334,0.04913897484192117,15.424948670398354,0.04913897484192117,0.294833849051527,0
SchemaLogic,2005-01-17,2010-04-20,2,5,18914576,1,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,8894,1477,1919,3782915.2,9457288.0,0.04106701146840567,16.7554434525954,0.20533505734202834,0.08213402293681134,1
Skyway Software,2007-05-16,2007-05-16,0,1,4000000,0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8894,2326,0,4000000.0,0.0,0.0,15.201805169084134,0.04106701146840567,0.0,0
CardStar,2010-03-30,2011-09-13,5,3,2030882,2,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6003,484,532,676960.6666666666,406176.4,0.12168915542228886,14.523981231813066,0.1825337331334333,0.30422288855572216,1
Makani Power,2008-08-23,2008-08-23,4,1,5000000,2,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7068,965,0,5000000.0,1250000.0,0.10335314091680814,15.424948670398354,0.05167657045840407,0.20670628183361628,1
Myrio,2001-01-01,2001-01-01,5,1,20500000,0,4.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9291,397,0,20500000.0,4100000.0,0.0,16.835935492889124,0.03931223764933807,0.19656118824669036,0
Intela,2010-01-18,2012-08-09,4,2,13250000,4,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7036,1446,934,6625000.0,3312500.0,0.20764638999431495,16.3995081858682,0.10382319499715748,0.20764638999431495,1
Sana Security,2007-04-02,2007-04-02,7,1,12000000,1,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9260,2648,0,12000000.0,1714285.7142857143,0.03944384449244061,16.300417291085605,0.03944384449244061,0.2761069114470842,1
Sportgenic,2007-01-01,2008-09-09,9,3,11489687,2,3.3333,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,7190,487,617,3829895.6666666665,1276631.888888889,0.10159944367176635,16.256960495409263,0.1523991655076495,0.45719749652294855,1
Lolapps,2008-09-05,2008-09-05,15,1,4000000,3,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6338,248,0,4000000.0,266666.6666666667,0.17288576838119282,15.201805169084134,0.0576285894603976,0.864428841905964,1
Behavio,2012-06-01,2012-06-01,3,1,355000,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4714,0,0,355000.0,118333.33333333333,0.07748196860415782,12.779875885354993,0.07748196860415782,0.23244590581247349,1
Infinity Box,2006-01-01,2006-04-01,10,2,118000,3,1.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7068,0,90,59000.0,11800.0,0.1550297113752122,11.678448377988165,0.10335314091680814,0.5167657045840407,1
adBrite,2004-09-01,2012-05-01,17,4,40400000,3,1.6667,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,8164,609,2799,10100000.0,2376470.588235294,0.1342172954434101,17.514340367683854,0.1789563939245468,0.7605646741793238,1
Texert,2008-10-21,2008-10-21,1,1,3000000,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6703,659,0,3000000.0,3000000.0,0.0,14.914123179965662,0.054490526629867225,0.054490526629867225,0
Mendocino Software,2005-09-12,2007-01-01,2,2,19700000,1,4.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8164,985,476,9850000.0,9850000.0,0.0447390984811367,16.796129244469636,0.0894781969622734,0.0894781969622734,0
QuikCycle,2007-03-01,2007-03-12,0,2,17800000,0,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9990,3346,11,8900000.0,0.0,0.0,16.694709071442087,0.07312312312312312,0.0,0
Instagram,2010-03-05,2012-04-05,12,3,57500000,3,4.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,5548,4,762,19166666.666666668,4791666.666666667,0.19750360490266763,17.867295523158884,0.19750360490266763,0.7900144196106705,1
Motionbox,2006-09-01,2009-01-14,10,3,17200000,5,2.6667,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,7068,243,866,5733333.333333333,1720000.0,0.25838285229202035,16.660419999923214,0.1550297113752122,0.5167657045840407,1
AccelGolf,2008-01-01,2009-12-04,4,7,457282,2,1.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,6125,0,703,65326.0,114320.5,0.11926530612244898,13.03305773423396,0.4174285714285714,0.23853061224489797,0
MoPub,2010-09-01,2012-09-20,11,4,18500000,3,2.25,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,5356,0,750,4625000.0,1681818.1818181819,0.20458364451082897,16.733281344102608,0.2727781926811053,0.7501400298730395,1
DNP Green Technology,2010-01-17,2010-01-17,2,1,12000000,0,6.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6338,747,0,12000000.0,6000000.0,0.0,16.300417291085605,0.0576285894603976,0.1152571789207952,0
Abound Solar,2010-07-06,2010-12-15,5,2,510000000,3,2.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6703,1282,162,255000000.0,102000000.0,0.16347157988960168,20.04992128564343,0.10898105325973445,0.2724526331493361,0
Trovix,2005-12-07,2006-09-06,3,2,18250000,1,2.5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,8529,1436,273,9125000.0,6083333.333333333,0.04282448118185016,16.719675692787295,0.08564896236370032,0.12847344354555046,1
Thumbplay,2006-10-30,2010-04-21,13,4,41500019,5,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7555,789,1269,10375004.75,3192309.153846154,0.24172733289212442,17.541204467128523,0.19338186631369952,0.6284910655195235,1
Plethora Technology,2005-06-09,2005-06-09,1,1,1000000,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9260,1986,0,1000000.0,1000000.0,0.0,13.815511557963774,0.03944384449244061,0.03944384449244061,0
DailyStrength,2007-05-18,2007-05-18,7,1,5000000,2,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6978,412,0,5000000.0,714285.7142857143,0.10468615649183147,15.424948670398354,0.05234307824591573,0.36640154772141015,1
Danotek Motion Technologies,2008-11-19,2011-08-30,2,3,42700000,1,3.6667,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,8894,2879,1014,14233333.333333334,21350000.0,0.04106701146840567,17.569709501618057,0.123201034405217,0.08213402293681134,0
Yub,2013-11-19,2013-11-19,7,1,12000000,0,9.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4511,322,0,12000000.0,1714285.7142857143,0.0,16.300417291085605,0.08096874307248947,0.5667812015074263,0
SNAPin Software,2005-07-11,2006-02-07,5,2,22300000,2,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8164,922,211,11150000.0,4460000.0,0.0894781969622734,16.920097281273396,0.0894781969622734,0.22369549240568348,1
Azuro,2006-01-01,2009-11-13,5,2,10000000,1,4.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,8529,1461,1412,5000000.0,2000000.0,0.04282448118185016,16.118095750958314,0.08564896236370032,0.21412240590925077,1
ARPU,2006-07-01,2009-12-29,1,3,15564591,0,3.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,7313,426,1277,5188197.0,15564591.0,0.0,16.560509148857687,0.14983590865581842,0.0499453028852728,0
BookFresh,2009-07-28,2009-07-28,7,1,500000,2,5.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6703,939,0,500000.0,71428.57142857143,0.10898105325973445,13.122365377402328,0.054490526629867225,0.38143368640907055,1
Singly,2011-02-01,2012-04-23,24,2,8950000,2,7.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5253,42,447,4475000.0,372916.6666666667,0.13906339234723017,16.007164201982874,0.13906339234723017,1.668760708166762,1
TxVia,2007-10-01,2010-10-26,8,4,55350000,2,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,7068,638,1121,13837500.0,6918750.0,0.10335314091680814,17.829187235185767,0.20670628183361628,0.41341256366723256,1
Blue Vector Systems,2005-09-21,2005-09-21,1,1,4000000,0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8529,1359,0,4000000.0,4000000.0,0.0,15.201805169084134,0.04282448118185016,0.04282448118185016,0
Open Kernel Labs,2007-09-13,2012-07-06,3,5,10764323,3,2.0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7068,620,1758,2152864.6,3588107.6666666665,0.1550297113752122,16.191747890710374,0.25838285229202035,0.1550297113752122,1
Elanti Systems,2008-05-29,2008-05-29,1,1,5500000,1,3.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6703,514,0,5500000.0,5500000.0,0.054490526629867225,15.520258832020865,0.054490526629867225,0.054490526629867225,0
Astrid,2012-04-13,2012-04-13,7,1,400000,2,3.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6338,1564,0,400000.0,57142.857142857145,0.1152571789207952,12.899222326086994,0.0576285894603976,0.4034001262227832,1
Nordic Windpower,2007-10-02,2010-01-05,3,3,54000000,0,2.6667,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,6703,274,826,18000000.0,18000000.0,0.0,17.804494623047066,0.16347157988960168,0.16347157988960168,0
Visiprise,2005-10-17,2005-10-17,2,1,32000000,0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14738,7594,0,32000000.0,16000000.0,0.0,17.281246492014,0.024782874202741213,0.049565748405482425,0
Hubspan,2005-10-14,2005-10-14,1,1,13000000,0,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9260,2113,0,13000000.0,13000000.0,0.0,16.380459992348886,0.03944384449244061,0.03944384449244061,1
iConclude,2005-02-01,2006-04-10,5,3,12500000,0,2.3333,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7433,31,433,4166666.6666666665,2500000.0,0.0,16.341239282272525,0.1474169245257635,0.2456948742096058,1
41st Parameter,2006-05-08,2012-04-11,16,4,38064570,2,3.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,7799,858,2165,9516142.5,2379035.625,0.09366585459674318,17.454794512463224,0.18733170919348635,0.7493268367739454,1
Aardvark,2007-01-01,2008-10-01,21,2,6000000,2,4.0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6522,0,639,3000000.0,285714.28571428574,0.11200551977920883,15.607270193858982,0.11200551977920883,1.1760579576816927,1
Hotelicopter,2008-11-17,2011-03-31,4,2,5000000,6,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6917,900,864,2500000.0,1250000.0,0.3168281046696545,15.424948670398354,0.10560936822321816,0.21121873644643632,0
Anystream,2000-01-01,2007-02-07,9,3,59000000,3,2.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9260,0,2594,19666666.666666668,6555555.555555556,0.11833153347732182,17.893048018819147,0.11833153347732182,0.35499460043196546,1
CakeStyle,2012-08-13,2012-08-13,2,1,1000000,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5030,378,0,1000000.0,500000.0,0.1452286282306163,13.815511557963774,0.07261431411530815,0.1452286282306163,0
